,0,1
1366,parlour-boarder,3
1367,history,17
1368,visible,2
1369,acquired,3
1370,country,21
1371,happened,27
1372,admired,15
1373,plump,1
1374,bloom,4
1375,blue,4
1376,eyes,49
1377,light,12
1378,hair,13
1379,regular,17
1380,features,6
1381,sweetness,7
1382,end,47
1383,person,66
1384,determined,36
1385,continue,11
1386,struck,24
1387,remarkably,10
1388,engaging—not,1
1389,inconveniently,1
1390,shy,1
1391,unwilling,7
1392,talk—and,1
1393,pushing,2
1394,shewing,9
1395,becoming,12
1396,deference,2
1397,seeming,10
1398,pleasantly,8
1399,admitted,12
1400,artlessly,1
1401,impressed,2
1402,appearance,30
1403,superior,55
1404,style,25
1405,deserve,20
1406,encouragement,21
1407,soft,9
1408,graces,2
1409,wasted,1
1410,inferior,16
1411,unworthy,6
1412,parted,10
1413,martin,84
1414,renting,1
1415,farm,8
1416,residing,2
1417,donwell—very,1
1418,creditably,1
1419,believed—she,1
1420,them—but,1
1421,coarse,3
1422,unpolished,1
1423,intimates,2
1424,knowledge,26
1425,elegance,14
1426,notice,24
1427,detach,1
1428,bad,54
1429,introduce,8
1430,form,18
1431,opinions,9
1432,interesting,30
1433,undertaking,2
1434,busy,19
1435,admiring,3
1436,talking,51
1437,listening,7
1438,forming,10
1439,in-betweens,1
1440,flew,2
1441,unusual,5
1442,supper-table,1
1443,closed,11
1444,watch,10
1445,ready,63
1446,moved,7
1447,forwards,2
1448,alacrity,3
1449,impulse,1
1450,indifferent,15
1451,credit,18
1452,attentively,3
1453,honours,1
1454,meal,3
1455,recommend,20
1456,minced,1
1457,scalloped,1
1458,oysters,1
1459,urgency,2
1460,guests,7
1461,occasions,7
1462,feelings,97
1463,warfare,2
1464,cloth,1
1465,laid,11
1466,fashion,5
1467,conviction,15
1468,suppers,2
1469,hospitality,3
1470,welcomed,4
1471,visitors,5
1472,grieve,3
1473,basin,4
1474,thin,6
1475,gruel,8
1476,thorough,12
1477,self-approbation,2
1478,constrain,1
1479,clearing,2
1480,nicer,1
1481,propose,5
1482,venturing,3
1483,eggs,2
1484,egg,3
1485,boiled,6
1486,serle,3
1487,understands,3
1488,boiling,1
1489,see—one,1
1490,hurt,8
1491,bit,5
1492,tart—a,1
1493,ours,7
1494,apple-tarts,1
1495,preserves,1
1496,advise,11
1497,custard,1
1498,glass,1
1499,wine,6
1500,half-glass,1
1501,tumbler,1
1502,water,6
1503,talk—but,1
1504,satisfactory,6
1505,sending,7
1506,intentions,9
1507,personage,1
1508,introduction,8
1509,panic,2
1510,humble,11
1511,gratified,13
1512,affability,1
1513,treated,5
1514,actually,27
1515,iv,3
1516,quick,22
1517,decided,27
1518,inviting,4
1519,encouraging,8
1520,telling,22
1521,foreseen,6
1522,shrubbery,3
1523,divisions,3
1524,ground,14
1525,sufficed,2
1526,varied,4
1527,exercise,17
1528,confined,10
1529,ventured,6
1530,summon,2
1531,valuable,9
1532,privileges,1
1533,approved,6
1534,confirmed,5
1535,designs,2
1536,docile,1
1537,totally,15
1538,free,5
1539,conceit,6
1540,desiring,2
1541,guided,6
1542,attachment,45
1543,appreciating,1
1544,shewed,17
1545,taste,34
1546,strength,12
1547,expected,38
1548,convinced,37
1549,wanted—exactly,1
1550,granted,5
1551,sentiment,10
1552,distinct,10
1553,independent,9
1554,object,36
1555,basis,2
1556,esteem,3
1557,attempts,6
1558,usefulness,1
1559,parents,4
1560,questions,12
1561,fancy,36
1562,liked—but,1
1563,discovered,4
1564,truth,37
1565,penetration,5
1566,chose,9
1567,farther,43
1568,teachers,3
1569,affairs,5
1570,naturally,14
1571,conversation—and,1
1572,martins,13
1573,abbey-mill,7
1574,months,30
1575,describe,8
1576,encouraged,8
1577,talkativeness—amused,1
1578,picture,22
1579,beings,3
1580,enjoying,4
1581,youthful,2
1582,exultation,4
1583,parlours,2
1584,upper,3
1585,maid,11
1586,five-and-twenty,2
1587,eight,5
1588,cows,1
1589,alderneys,1
1590,welch,2
1591,cow,3
1592,called,44
1593,summer-house,2
1594,drink,3
1595,—a,12
1596,dozen,4
1597,amused,16
1598,thinking,58
1599,immediate,14
1600,cause,17
1601,wrong,38
1602,fancying,12
1603,appeared,48
1604,narrative,1
